Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1675728461.722083,1,1675728461,696966236,,2,/record_1675728461594176101,Subscribing to /rosout,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675728461.7221723,2,1675728461,705225159,,2,/record_1675728461594176101,Subscribing to /gps_message,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675728461.722207,3,1675728461,714286730,,2,/record_1675728461594176101,Subscribing to /rosout_agg,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675728461.9141164,8,1675728460,966593980,,2,/talker,"header: ""$GPGGA""
latitude: 42.33896
longitude: -71.0838916667
altitude: 15.5
utm_easting: 328332.3996078671
HDOP: 1.6
UTC: 742.0
utm_northing: 4689514.777396849
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728461.9677749,9,1675728461,965919971,,2,/talker,"header: ""$GPGGA""
latitude: 42.33896
longitude: -71.0838916667
altitude: 15.5
utm_easting: 328332.3996078671
HDOP: 1.6
UTC: 743.0
utm_northing: 4689514.777396849
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728462.9657915,10,1675728462,963927984,,2,/talker,"header: ""$GPGGA""
latitude: 42.33896
longitude: -71.0838916667
altitude: 15.5
utm_easting: 328332.3996078671
HDOP: 1.6
UTC: 744.0
utm_northing: 4689514.777396849
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728463.9639595,11,1675728463,963300943,,2,/talker,"header: ""$GPGGA""
latitude: 42.33896
longitude: -71.0838916667
altitude: 15.5
utm_easting: 328332.3996078671
HDOP: 1.6
UTC: 745.0
utm_northing: 4689514.777396849
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728464.9643173,12,1675728464,963427066,,2,/talker,"header: ""$GPGGA""
latitude: 42.33896
longitude: -71.08389
altitude: 15.5
utm_easting: 328332.5369108656
HDOP: 1.6
UTC: 746.0
utm_northing: 4689514.774031946
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728465.9652784,13,1675728465,963665008,,2,/talker,"header: ""$GPGGA""
latitude: 42.33896
longitude: -71.08389
altitude: 15.5
utm_easting: 328332.5369108656
HDOP: 1.6
UTC: 747.0
utm_northing: 4689514.774031946
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728466.9657583,14,1675728466,964164972,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.0838883333
altitude: 15.7
utm_easting: 328332.66514277423
HDOP: 1.6
UTC: 748.0
utm_northing: 4689514.400525797
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728467.9655275,15,1675728467,963911056,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.0838883333
altitude: 15.7
utm_easting: 328332.66514277423
HDOP: 1.6
UTC: 749.0
utm_northing: 4689514.400525797
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728468.9658005,16,1675728468,965231895,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.0838883333
altitude: 15.7
utm_easting: 328332.66514277423
HDOP: 1.6
UTC: 750.0
utm_northing: 4689514.400525797
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728469.9645648,17,1675728469,963973045,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389533333
longitude: -71.0838866667
altitude: 15.9
utm_easting: 328332.7933747001
HDOP: 1.6
UTC: 751.0
utm_northing: 4689514.027019648
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728470.9642022,18,1675728470,963622093,,2,/talker,"header: ""$GPGGA""
latitude: 42.33895
longitude: -71.0838866667
altitude: 15.9
utm_easting: 328332.7843036189
HDOP: 1.6
UTC: 752.0
utm_northing: 4689513.656878401
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728471.963445,19,1675728471,962755918,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389433333
longitude: -71.083885
altitude: 15.9
utm_easting: 328332.90346449486
HDOP: 1.6
UTC: 753.0
utm_northing: 4689512.913231008
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728472.9640515,20,1675728472,963550090,,2,/talker,"header: ""$GPGGA""
latitude: 42.33894
longitude: -71.0838866667
altitude: 15.8
utm_easting: 328332.75709037855
HDOP: 1.6
UTC: 754.0
utm_northing: 4689512.546454653
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728473.9653585,21,1675728473,964255094,,2,/talker,"header: ""$GPGGA""
latitude: 42.338935
longitude: -71.0838883333
altitude: 15.8
utm_easting: 328332.60618070536
HDOP: 1.6
UTC: 755.0
utm_northing: 4689511.994607679
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728474.965705,22,1675728474,962907075,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389266667
longitude: -71.0838883333
altitude: 15.7
utm_easting: 328332.58350299316
HDOP: 1.6
UTC: 756.0
utm_northing: 4689511.06925456
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675728475.9662018,23,1675728475,963964939,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389166667
longitude: -71.0838883333
altitude: 15.5
utm_easting: 328332.5562897433
HDOP: 1.6
UTC: 757.0
utm_northing: 4689509.958830817
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
