Time,header,latitude,longitude,altitude,utm_easting,HDOP,UTC,utm_northing,zone,letter
1675727419.4206502,$GPGGA,42.339345,-71.08691333333333,31.1,328084.5184848835,2.2,235020.0,4689563.633718967,19,T
1675727420.414701,$GPGGA,42.339330000000004,-71.08691833333334,32.2,328084.06569871004,2.2,235021.0,4689561.978192337,19,T
1675727421.4215093,$GPGGA,42.33933166666667,-71.08691833333334,32.2,328084.070240889,2.2,235022.0,4689562.163263005,19,T
1675727422.420169,$GPGGA,42.33933166666667,-71.08691833333334,32.2,328084.070240889,2.2,235023.0,4689562.163263005,19,T
1675727423.4201522,$GPGGA,42.33933166666667,-71.08691833333334,32.2,328084.070240889,2.2,235024.0,4689562.163263005,19,T
1675727424.4214044,$GPGGA,42.33933166666667,-71.08691833333334,32.2,328084.070240889,2.2,235025.0,4689562.163263005,19,T
1675727425.4213638,$GPGGA,42.33933166666667,-71.08691833333334,32.2,328084.070240889,2.2,235026.0,4689562.163263005,19,T
1675727426.4213443,$GPGGA,42.33933166666667,-71.08691833333334,32.2,328084.070240889,2.2,235027.0,4689562.163263005,19,T
1675727427.421687,$GPGGA,42.33933166666667,-71.08691833333334,32.2,328084.070240889,2.2,235028.0,4689562.163263005,19,T
1675727428.4217083,$GPGGA,42.339330000000004,-71.08691833333334,32.1,328084.06569871004,2.2,235029.0,4689561.978192337,19,T
1675727429.422412,$GPGGA,42.339330000000004,-71.08691833333334,32.1,328084.06569871004,2.2,235030.0,4689561.978192337,19,T
1675727430.4222605,$GPGGA,42.339330000000004,-71.08691833333334,32.1,328084.06569871004,2.2,235031.0,4689561.978192337,19,T
1675727431.421657,$GPGGA,42.339330000000004,-71.08691833333334,32.1,328084.06569871004,2.2,235032.0,4689561.978192337,19,T
1675727432.4210875,$GPGGA,42.33932333333334,-71.08691999999999,32.1,328083.91022776405,2.2,235033.0,4689561.241279465,19,T
1675727433.4227362,$GPGGA,42.33931833333333,-71.08691999999999,32.0,328083.89660121896,2.2,235034.0,4689560.686067457,19,T
1675727434.421475,$GPGGA,42.33932,-71.08692166666667,32.0,328083.7638411594,2.2,235035.0,4689560.874507931,19,T
1675727435.4220958,$GPGGA,42.33931833333333,-71.08692166666667,32.0,328083.75929897424,2.2,235036.0,4689560.689437262,19,T
1675727436.4171011,$GPGGA,42.33931833333333,-71.08692166666667,32.0,328083.75929897424,2.2,235037.0,4689560.689437262,19,T
1675727437.422398,$GPGGA,42.33931833333333,-71.08692166666667,31.9,328083.75929897424,2.2,235038.0,4689560.689437262,19,T
1675727438.4220228,$GPGGA,42.339316666666676,-71.08691999999999,31.9,328083.8920590376,2.2,235039.0,4689560.500996792,19,T
1675727439.4230144,$GPGGA,42.339316666666676,-71.08691999999999,31.9,328083.8920590376,2.2,235040.0,4689560.500996792,19,T
1675727440.4254029,$GPGGA,42.339316666666676,-71.08691999999999,31.9,328083.8920590376,2.2,235041.0,4689560.500996792,19,T
1675727441.42303,$GPGGA,42.339316666666676,-71.08691999999999,31.9,328083.8920590376,2.2,235042.0,4689560.500996792,19,T
1675727442.4226098,$GPGGA,42.339316666666676,-71.08691999999999,31.9,328083.8920590376,2.2,235043.0,4689560.500996792,19,T
1675727443.4227989,$GPGGA,42.339316666666676,-71.08691999999999,31.9,328083.8920590376,2.2,235044.0,4689560.500996792,19,T
1675727444.4227014,$GPGGA,42.339316666666676,-71.08691999999999,31.9,328083.8920590376,2.2,235045.0,4689560.500996792,19,T
1675727445.424765,$GPGGA,42.339315000000006,-71.08691999999999,31.9,328083.8875168562,2.2,235046.0,4689560.3159261225,19,T
1675727446.4228213,$GPGGA,42.339315000000006,-71.08691999999999,31.9,328083.8875168562,2.2,235047.0,4689560.3159261225,19,T
1675727447.4230914,$GPGGA,42.339315000000006,-71.08691999999999,31.9,328083.8875168562,2.2,235048.0,4689560.3159261225,19,T
1675727448.423777,$GPGGA,42.33932,-71.08691999999999,31.9,328083.9011434005,2.2,235049.0,4689560.871138127,19,T
1675727449.423436,$GPGGA,42.33932333333334,-71.08691666666667,31.9,328084.1848322295,2.2,235050.0,4689561.234539865,19,T
1675727450.4245477,$GPGGA,42.33932333333334,-71.08691833333334,31.9,328084.0475299958,2.2,235051.0,4689561.2379096635,19,T
1675727451.4222825,$GPGGA,42.339326666666665,-71.08691833333334,31.9,328084.0566143526,2.2,235052.0,4689561.608050998,19,T
1675727452.4614398,$GPGGA,42.339326666666665,-71.08691833333334,31.9,328084.0566143526,2.9,235053.0,4689561.608050998,19,T
1675727453.4217887,$GPGGA,42.339326666666665,-71.08691833333334,31.9,328084.0566143526,2.9,235054.0,4689561.608050998,19,T
1675727454.460921,$GPGGA,42.339326666666665,-71.08691833333334,31.9,328084.0566143526,2.9,235055.0,4689561.608050998,19,T
1675727455.4617193,$GPGGA,42.339326666666665,-71.08691833333334,31.9,328084.0566143526,2.9,235056.0,4689561.608050998,19,T
1675727456.4607732,$GPGGA,42.339326666666665,-71.08691833333334,31.9,328084.0566143526,2.9,235057.0,4689561.608050998,19,T
1675727457.4226177,$GPGGA,42.339326666666665,-71.08691833333334,31.9,328084.0566143526,2.9,235058.0,4689561.608050998,19,T
1675727458.4615867,$GPGGA,42.339328333333334,-71.08691833333334,31.9,328084.06115653133,2.9,235059.0,4689561.793121668,19,T
1675727459.42339,$GPGGA,42.339328333333334,-71.08691833333334,31.9,328084.06115653133,2.9,235100.0,4689561.793121668,19,T
1675727460.478494,$GPGGA,42.339330000000004,-71.08691833333334,31.8,328084.06569871004,2.9,235101.0,4689561.978192337,19,T
1675727461.4230196,$GPGGA,42.339330000000004,-71.08691833333334,31.6,328084.06569871004,2.9,235102.0,4689561.978192337,19,T
1675727462.4610538,$GPGGA,42.33933166666667,-71.08691666666667,31.5,328084.20754310465,2.9,235103.0,4689562.159893206,19,T
