Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1675729483.0010033,1,1675729482,979999469,,2,/record_1675729482896636648,Subscribing to /rosout,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675729483.001084,2,1675729482,988382389,,2,/record_1675729482896636648,Subscribing to /gps_message,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675729483.001139,3,1675729482,994862902,,2,/record_1675729482896636648,Subscribing to /rosout_agg,/tmp/binarydeb/ros-melodic-rosbag-1.14.13/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675729483.1911805,17,1675729482,569386005,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389583333
longitude: -71.0847383333
altitude: 29.3
utm_easting: 328262.6451450662
HDOP: 2.0
UTC: 2444.0
utm_northing: 4689516.302045169
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729483.5697055,18,1675729483,569094896,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389583333
longitude: -71.08474
altitude: 29.2
utm_easting: 328262.50784205925
HDOP: 2.0
UTC: 2445.0
utm_northing: 4689516.305411442
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729484.5709689,19,1675729484,569263935,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389583333
longitude: -71.08474
altitude: 29.2
utm_easting: 328262.50784205925
HDOP: 2.0
UTC: 2446.0
utm_northing: 4689516.305411442
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729485.5714927,20,1675729485,569763898,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389583333
longitude: -71.08474
altitude: 29.1
utm_easting: 328262.50784205925
HDOP: 2.0
UTC: 2447.0
utm_northing: 4689516.305411442
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729486.5699105,21,1675729486,569356918,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389583333
longitude: -71.08474
altitude: 29.1
utm_easting: 328262.50784205925
HDOP: 2.0
UTC: 2448.0
utm_northing: 4689516.305411442
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729487.5720913,22,1675729487,570204019,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389583333
longitude: -71.08474
altitude: 29.0
utm_easting: 328262.50784205925
HDOP: 2.0
UTC: 2449.0
utm_northing: 4689516.305411442
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729488.5709345,23,1675729488,568914890,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.08474
altitude: 28.9
utm_easting: 328262.50330465904
HDOP: 2.0
UTC: 2450.0
utm_northing: 4689516.120340808
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729489.5707023,24,1675729489,569386959,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.08474
altitude: 28.9
utm_easting: 328262.50330465904
HDOP: 2.0
UTC: 2451.0
utm_northing: 4689516.120340808
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729490.5694025,25,1675729490,568662881,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.08474
altitude: 28.8
utm_easting: 328262.50330465904
HDOP: 2.0
UTC: 2452.0
utm_northing: 4689516.120340808
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729491.5863378,26,1675729491,585747003,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.0847416667
altitude: 28.8
utm_easting: 328262.3660016443
HDOP: 2.0
UTC: 2453.0
utm_northing: 4689516.123707085
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729492.570385,27,1675729492,569746017,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.0847416667
altitude: 28.7
utm_easting: 328262.3660016443
HDOP: 2.0
UTC: 2454.0
utm_northing: 4689516.123707085
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729493.5888135,28,1675729493,586966991,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.0847416667
altitude: 28.6
utm_easting: 328262.3660016443
HDOP: 2.0
UTC: 2455.0
utm_northing: 4689516.123707085
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729494.586487,29,1675729494,585936069,,2,/talker,"header: ""$GPGGA""
latitude: 42.3389566667
longitude: -71.0847416667
altitude: 28.6
utm_easting: 328262.3660016443
HDOP: 2.0
UTC: 2456.0
utm_northing: 4689516.123707085
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729495.5712607,30,1675729495,570112943,,2,/talker,"header: ""$GPGGA""
latitude: 42.338955
longitude: -71.0847416667
altitude: 28.5
utm_easting: 328262.3614642405
HDOP: 2.0
UTC: 2457.0
utm_northing: 4689515.938636451
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
1675729496.5879178,31,1675729496,586996078,,2,/talker,"header: ""$GPGGA""
latitude: 42.338955
longitude: -71.0847416667
altitude: 28.4
utm_easting: 328262.3614642405
HDOP: 2.0
UTC: 2458.0
utm_northing: 4689515.938636451
zone: 19
letter: ""T""",gps_main.py,talker,56,"['/rosout', '/gps_message']"
