Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fix_quality
1676486371.263543,0,1676486371,20000000,GPS1_Frame,42.338373983333334,-71.08815525333333,-43.267,24.9,327979.5596182478,4689458.3214519825,183931.2,19,T,5
1676486372.2647538,0,1676486372,20000000,GPS1_Frame,42.338372156666665,-71.088154415,-43.264,24.8,327979.62370123004,4689458.116918536,183932.2,19,T,5
1676486373.2665718,0,1676486373,20000000,GPS1_Frame,42.338364825,-71.08815293833334,-43.836,24.7,327979.7253603458,4689457.299805319,183933.2,19,T,5
1676486374.2627134,0,1676486374,20000000,GPS1_Frame,42.338373833333335,-71.08815361333333,-42.283,24.6,327979.69431665866,4689458.301477784,183934.2,19,T,5
1676486375.2763207,0,1676486375,20000000,GPS1_Frame,42.33839176,-71.08815476666666,-39.568,24.5,327979.648185835,4689460.294431036,183935.2,19,T,5
1676486376.2806792,0,1676486376,20000000,GPS1_Frame,42.338399163333335,-71.08815490666667,-38.244,1.1,327979.6568402355,4689461.116798121,183936.2,19,T,1
1676486377.2690535,0,1676486377,20000000,GPS1_Frame,42.33841110666667,-71.08815601666667,-36.533,24.4,327979.5979635969,4689462.445260055,183937.2,19,T,5
1676486378.26353,0,1676486378,20000000,GPS1_Frame,42.338373993333335,-71.08815308333334,-41.258,1.4,327979.738415729,4689458.31817234,183938.2,19,T,1
1676486379.263277,0,1676486379,20000000,GPS1_Frame,42.33831748666667,-71.08814940333333,-48.639,1.4,327979.8874976103,4689452.036091967,183939.2,19,T,1
1676486380.2643151,0,1676486380,20000000,GPS1_Frame,42.338235796666666,-71.088144325,-59.51,1.4,327980.0831074738,4689442.954765197,183940.2,19,T,1
1676486381.2659266,0,1676486381,20000000,GPS1_Frame,42.338116123333336,-71.08813524833333,-74.541,1.4,327980.5045386753,4689429.647589641,183941.2,19,T,1
1676486382.2613525,0,1676486382,20000000,GPS1_Frame,42.338173581666666,-71.08814034,-68.992,24.0,327980.24175210577,4689436.038200984,183942.2,19,T,5
1676486383.2651873,0,1676486383,20000000,GPS1_Frame,42.33836672,-71.08815529166667,-43.144,1.4,327979.53665405663,4689457.514991619,183943.2,19,T,1
1676486384.259648,0,1676486384,20000000,GPS1_Frame,42.33843520333333,-71.08815905833333,-34.031,23.8,327979.41309213033,4689465.127165138,183944.2,19,T,5
1676486385.2626486,0,1676486385,20000000,GPS1_Frame,42.33848051,-71.088162095,-27.996,23.7,327979.286470094,4689470.164269322,183945.2,19,T,5
1676486386.2667153,0,1676486386,20000000,GPS1_Frame,42.338525983333334,-71.08816503333334,-22.058,23.7,327979.1684039387,4689475.219681679,183946.2,19,T,5
1676486387.263948,0,1676486387,20000000,GPS1_Frame,42.33857057,-71.08816832666666,-16.254,23.6,327979.0186746643,4689480.17735469,183947.2,19,T,5
1676486388.2599463,0,1676486388,20000000,GPS1_Frame,42.33860747,-71.08817167333333,-11.517,23.5,327978.8435913261,4689484.281589746,183948.2,19,T,5
1676486389.259319,0,1676486389,20000000,GPS1_Frame,42.338649035,-71.08817495166667,-6.223,23.4,327978.68685888854,4689488.903699381,183949.2,19,T,5
1676486390.2896845,0,1676486390,20000000,GPS1_Frame,42.338663233333335,-71.08817686333333,-4.399,23.4,327978.568089208,4689490.484183848,183950.2,19,T,5
1676486391.2781558,0,1676486391,20000000,GPS1_Frame,42.338674393333335,-71.08817899,-3.116,1.0,327978.4233221435,4689491.727719469,183951.2,19,T,1
1676486392.2722821,0,1676486392,20000000,GPS1_Frame,42.339014045,-71.08821205166667,39.225,1.5,327976.6258504024,4689529.510343798,183952.2,19,T,5
1676486393.2687466,0,1676486393,20000000,GPS1_Frame,42.33902843166667,-71.08821263166666,41.018,23.1,327976.617301183,4689531.109047276,183953.2,19,T,5
1676486394.271362,0,1676486394,20000000,GPS1_Frame,42.33903001,-71.08821172166667,41.468,23.1,327976.6965726456,4689531.282468153,183954.2,19,T,5
1676486395.2616563,0,1676486395,20000000,GPS1_Frame,42.33902693,-71.08821080333334,41.489,23.0,327976.7638274324,4689530.938599638,183955.2,19,T,5
1676486396.262182,0,1676486396,20000000,GPS1_Frame,42.339036996666664,-71.08821224166667,42.842,1.5,327976.67278667045,4689532.059336452,183956.2,19,T,5
1676486397.2679162,0,1676486397,20000000,GPS1_Frame,42.339044306666665,-71.08821327333334,43.913,1.5,327976.6077304545,4689532.873143631,183957.2,19,T,5
1676486398.2803328,0,1676486398,20000000,GPS1_Frame,42.339046321666665,-71.088213595,44.344,1.5,327976.58672587975,4689533.097544853,183958.2,19,T,5
1676486399.2806237,0,1676486399,20000000,GPS1_Frame,42.33904697,-71.088212345,45.184,22.7,327976.69147100934,4689533.167008427,183959.2,19,T,5
1676486400.2644758,0,1676486400,20000000,GPS1_Frame,42.33903853333333,-71.08820941,44.633,1.0,327976.9102546999,4689532.2242427785,184000.2,19,T,1
1676486401.2691128,0,1676486401,20000000,GPS1_Frame,42.339029735,-71.08820774,42.638,1.1,327977.02383931435,4689531.243876059,184001.2,19,T,1
1676486402.2665353,0,1676486402,20000000,GPS1_Frame,42.33902436333333,-71.08820644833334,43.056,22.5,327977.11560064636,4689530.644780069,184002.2,19,T,5
1676486403.2607577,0,1676486403,20000000,GPS1_Frame,42.33901967333333,-71.08820558166667,43.269,22.4,327977.1742086427,4689530.122237814,184003.2,19,T,5
1676486404.2588727,0,1676486404,20000000,GPS1_Frame,42.339010175,-71.08820371333333,43.491,1.1,327977.30222351954,4689529.06374017,184004.2,19,T,1
1676486405.2648215,0,1676486405,20000000,GPS1_Frame,42.338994826666664,-71.08820097,42.097,1.1,327977.4863697406,4689527.353874233,184005.2,19,T,1
1676486406.2651353,0,1676486406,20000000,GPS1_Frame,42.339002758333336,-71.08819978,42.7,1.1,327977.60603343125,4689528.232218055,184006.2,19,T,1
1676486407.2727091,0,1676486407,20000000,GPS1_Frame,42.338980416666665,-71.08819714333333,40.679,22.2,327977.76232182514,4689525.746011384,184007.2,19,T,5
1676486408.2707667,0,1676486408,20000000,GPS1_Frame,42.33898009,-71.08819688333334,40.376,1.0,327977.7828502858,4689525.709211524,184008.2,19,T,1
1676486409.2671664,0,1676486409,20000000,GPS1_Frame,42.33891349333334,-71.08819000333334,32.753,3.0,327978.1680312835,4689518.300238581,184009.2,19,T,5
1676486410.2573044,0,1676486410,20000000,GPS1_Frame,42.338871471666664,-71.08818632666667,28.714,22.0,327978.3563313593,4689513.626613469,184010.2,19,T,5
1676486411.267017,0,1676486411,20000000,GPS1_Frame,42.33885888333333,-71.08818351166667,27.61,21.9,327978.55390892364,4689512.223079658,184011.2,19,T,5
1676486412.2668698,0,1676486412,20000000,GPS1_Frame,42.33885215,-71.08818143,27.003,1.4,327978.7070393355,4689511.471182729,184012.2,19,T,1
1676486413.2865126,0,1676486413,20000000,GPS1_Frame,42.338850095,-71.088181345,26.447,1.4,327978.7084379562,4689511.242818629,184013.2,19,T,1
1676486414.2847264,0,1676486414,20000000,GPS1_Frame,42.33879672,-71.08817538333334,20.052,4.3,327979.05402220273,4689505.303869432,184014.2,19,T,5
1676486415.2792106,0,1676486415,20000000,GPS1_Frame,42.33877251166667,-71.08817077666667,17.321,4.3,327979.3675146841,4689502.60639827,184015.2,19,T,5
1676486416.282868,0,1676486416,20000000,GPS1_Frame,42.338736346666664,-71.088165865,13.6,3.0,327979.67352930957,4689498.580613143,184016.2,19,T,5
1676486417.2898164,0,1676486417,20000000,GPS1_Frame,42.33873284,-71.088165665,13.041,1.4,327979.68044337956,4689498.190819845,184017.2,19,T,1
1676486418.2982476,0,1676486418,20000000,GPS1_Frame,42.33873286,-71.08816762833334,12.655,1.0,327979.5187543587,4689498.197012687,184018.2,19,T,1
1676486419.277044,0,1676486419,20000000,GPS1_Frame,42.338735486666664,-71.08817019166666,12.595,1.0,327979.3147442243,4689498.493869908,184019.2,19,T,1
1676486420.2856708,0,1676486420,20000000,GPS1_Frame,42.33874321333333,-71.088173105,13.324,1.0,327979.0958076379,4689499.357751456,184020.2,19,T,1
1676486421.2968044,0,1676486421,20000000,GPS1_Frame,42.338755453333334,-71.088176315,14.327,1.2,327978.8647385995,4689500.723404565,184021.2,19,T,1
1676486422.2864132,0,1676486422,20000000,GPS1_Frame,42.338767876666665,-71.08818125,15.285,1.4,327978.492060533,4689502.112905308,184022.2,19,T,1
1676486423.30124,0,1676486423,20000000,GPS1_Frame,42.33870101666667,-71.08816651833334,8.909,1.2,327979.52336471167,4689494.658806929,184023.2,19,T,1
1676486424.2731614,0,1676486424,20000000,GPS1_Frame,42.338502055,-71.08813615833333,-11.965,1.1,327981.4819462635,4689472.504206077,184024.2,19,T,1
1676486425.2646449,0,1676486425,20000000,GPS1_Frame,42.33850098,-71.08817970833333,-16.463,1.4,327977.89126047667,4689472.472940506,184025.2,19,T,1
1676486426.268754,0,1676486426,20000000,GPS1_Frame,42.338497323333335,-71.08824942333334,-23.639,1.4,327972.1379982567,4689472.207938118,184026.2,19,T,1
1676486427.2718732,0,1676486427,20000000,GPS1_Frame,42.33843098333333,-71.08817444333333,-24.375,1.4,327978.1341297409,4689464.689691396,184027.2,19,T,1
1676486428.2699318,0,1676486428,20000000,GPS1_Frame,42.33834338166667,-71.08817506666666,-34.734,1.4,327977.84389694274,4689454.963453701,184028.2,19,T,1
1676486429.2631948,0,1676486429,20000000,GPS1_Frame,42.33823001,-71.0881609,-46.676,1.4,327978.7018335962,4689442.34573228,184029.2,19,T,1
1676486430.26352,0,1676486430,20000000,GPS1_Frame,42.338741830000004,-71.08829458666666,-0.243,4.3,327969.08411984344,4689499.449918706,184030.2,19,T,5
1676486431.269145,0,1676486431,20000000,GPS1_Frame,42.338728208333336,-71.088297045,-2.195,4.3,327968.84444981377,4689497.942309873,184031.2,19,T,5
1676486432.2910848,0,1676486432,20000000,GPS1_Frame,42.33873382,-71.08830240666667,-2.301,4.3,327968.4180478163,4689498.57629062,184032.2,19,T,5
1676486433.2712653,0,1676486433,20000000,GPS1_Frame,42.33874273,-71.088304075,-1.674,4.3,327968.30490533466,4689499.569053812,184033.2,19,T,5
1676486434.2639039,0,1676486434,20000000,GPS1_Frame,42.33874526333334,-71.08829971666667,-1.143,1.1,327968.6708626173,4689499.841543367,184034.2,19,T,1
1676486435.2686641,0,1676486435,20000000,GPS1_Frame,42.33874693833334,-71.08829882666667,-1.083,1.1,327968.74875055,4689500.025738727,184035.2,19,T,1
1676486436.2647622,0,1676486436,20000000,GPS1_Frame,42.338748085,-71.08830110833334,-1.568,1.1,327968.56390911504,4689500.15768365,184036.2,19,T,1
1676486437.2657106,0,1676486437,20000000,GPS1_Frame,42.338748106666664,-71.08830005833333,-1.647,1.1,327968.6504694074,4689500.15796519,184037.2,19,T,1
1676486438.2661378,0,1676486438,20000000,GPS1_Frame,42.33840567833333,-71.08821756833333,-33.402,1.1,327974.51237823063,4689461.967010371,184038.2,19,T,1
1676486439.2621236,0,1676486439,20000000,GPS1_Frame,42.33806344333333,-71.0881928,-70.57,1.1,327975.6196105923,4689423.914308243,184039.2,19,T,1
1676486440.2661245,0,1676486440,20000000,GPS1_Frame,42.33894509833333,-71.08822723,27.486,1.7,327975.18741518375,4689521.885048077,184040.2,19,T,1
1676486441.2628796,0,1676486441,20000000,GPS1_Frame,42.33825487833333,-71.08818288833334,-47.568,20.1,327976.95818721474,4689445.1516558295,184041.2,19,T,5
1676486442.267313,0,1676486442,20000000,GPS1_Frame,42.33816758333333,-71.08817023333333,-56.398,1.7,327977.76269740064,4689435.432608088,184042.2,19,T,1
1676486443.2606027,0,1676486443,20000000,GPS1_Frame,42.33816530166666,-71.08816112166667,-55.552,1.7,327978.5071207179,4689435.160812715,184043.2,19,T,1
1676486444.26707,0,1676486444,20000000,GPS1_Frame,42.338169648333334,-71.08815212,-54.077,1.7,327979.2605565048,4689435.625265938,184044.2,19,T,1
1676486445.2710905,0,1676486445,20000000,GPS1_Frame,42.338187291666664,-71.08815014166667,-51.839,1.7,327979.47164809646,4689437.580421536,184045.2,19,T,1
1676486446.266717,0,1676486446,20000000,GPS1_Frame,42.338955408333334,-71.08818222166667,33.514,3.6,327978.92339925934,4689522.9388377555,184046.2,19,T,5
1676486447.2652545,0,1676486447,20000000,GPS1_Frame,42.338958391666665,-71.088179575,34.483,3.6,327979.14957185683,4689523.264759783,184047.2,19,T,5
1676486448.2664552,0,1676486448,20000000,GPS1_Frame,42.338967725,-71.08817666333333,36.039,1.7,327979.41489163635,4689524.295264956,184048.2,19,T,1
1676486449.2701244,0,1676486449,20000000,GPS1_Frame,42.338969045,-71.08817450833334,36.458,1.7,327979.5960239875,4689524.437481154,184049.2,19,T,1
1676486450.262686,0,1676486450,20000000,GPS1_Frame,42.338971388333334,-71.08817085666666,37.406,3.6,327979.9032449882,4689524.6903028535,184050.2,19,T,5
1676486451.2712295,0,1676486451,20000000,GPS1_Frame,42.338969336666665,-71.08816866,37.535,3.6,327980.0786156171,4689524.458036797,184051.2,19,T,5
