Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fix_quality
1676488395.2668538,0,1676488395,20000000,GPS1_Frame,42.33620323,-71.088443165,35.317,5.6,327949.92064662685,4689217.858348751,191315.2,19,T,5
1676488396.2717052,0,1676488396,20000000,GPS1_Frame,42.33621216666667,-71.08843433833333,35.472,0.8,327950.6722067196,4689218.832838002,191316.2,19,T,1
1676488397.2742653,0,1676488397,20000000,GPS1_Frame,42.33622194,-71.08842611333333,35.139,0.8,327951.3764797471,4689219.901450134,191317.2,19,T,1
1676488398.2690613,0,1676488398,20000000,GPS1_Frame,42.33622969666666,-71.08842165666667,34.135,0.8,327951.7647972947,4689220.753751435,191318.2,19,T,1
1676488399.2748957,0,1676488399,20000000,GPS1_Frame,42.33623437333333,-71.08842731333333,32.372,0.8,327951.31152441737,4689221.284504782,191319.2,19,T,1
1676488400.2767394,0,1676488400,20000000,GPS1_Frame,42.336135205,-71.08846661333334,50.95,0.8,327947.80333031435,4689210.35213651,191320.2,19,T,1
1676488401.2718935,0,1676488401,20000000,GPS1_Frame,42.336102018333335,-71.088532865,44.709,0.8,327942.25464435306,4689206.801063936,191321.2,19,T,1
1676488402.2730513,0,1676488402,20000000,GPS1_Frame,42.336219418333336,-71.088414935,40.719,0.8,327952.2905343849,4689219.598821013,191322.2,19,T,1
1676488403.27036,0,1676488403,20000000,GPS1_Frame,42.33624022666667,-71.088401235,38.017,0.8,327953.4759604657,4689221.881708158,191323.2,19,T,1
1676488404.2692986,0,1676488404,20000000,GPS1_Frame,42.336301686666665,-71.08835137833333,32.992,0.8,327957.7510233664,4689228.60549787,191324.2,19,T,1
1676488405.269694,0,1676488405,20000000,GPS1_Frame,42.336332856666665,-71.08834068333333,26.722,0.8,327958.71713495126,4689232.045049624,191325.2,19,T,1
1676488406.2773285,0,1676488406,20000000,GPS1_Frame,42.336364458333335,-71.08833915666666,18.282,0.8,327958.929087764,4689235.551084472,191326.2,19,T,1
1676488407.2727015,0,1676488407,20000000,GPS1_Frame,42.336346023333334,-71.08826335,41.581,0.8,327965.1241656641,4689233.350646385,191327.2,19,T,1
1676488408.267567,0,1676488408,20000000,GPS1_Frame,42.336340588333336,-71.08827056666667,40.985,0.8,327964.5147980668,4689232.761731692,191328.2,19,T,1
1676488409.270384,0,1676488409,20000000,GPS1_Frame,42.33633028166667,-71.088283625,40.019,0.8,327963.4108784667,4689231.643674437,191329.2,19,T,1
1676488410.2654328,0,1676488410,20000000,GPS1_Frame,42.33638679333333,-71.08824827666666,32.415,0.8,327966.47716111806,4689237.847347677,191330.2,19,T,1
1676488411.2663102,0,1676488411,20000000,GPS1_Frame,42.336388675,-71.08823973833333,31.283,0.8,327967.18572436576,4689238.039018087,191331.2,19,T,1
1676488412.271711,0,1676488412,20000000,GPS1_Frame,42.336352145,-71.08823752333333,34.776,1.9,327967.26859476324,4689233.978159415,191332.2,19,T,5
1676488413.2777543,0,1676488413,20000000,GPS1_Frame,42.33638411333333,-71.08823293833333,28.857,2.2,327967.73350452736,4689237.518722509,191333.2,19,T,5
1676488414.2744157,0,1676488414,20000000,GPS1_Frame,42.336386493333336,-71.088213715,35.384,0.8,327969.3237123543,4689237.744112093,191334.2,19,T,1
1676488415.2611957,0,1676488415,20000000,GPS1_Frame,42.336378423333336,-71.08820099166667,34.8,2.2,327970.34992101335,4689236.822259535,191335.2,19,T,5
1676488416.2683942,0,1676488416,20000000,GPS1_Frame,42.33638283166667,-71.08819687,38.106,1.9,327970.7015060733,4689237.303432716,191336.2,19,T,5
1676488417.2662385,0,1676488417,20000000,GPS1_Frame,42.336390406666666,-71.08818127833334,38.216,2.2,327972.0066840224,4689238.1130352,191337.2,19,T,5
1676488418.2664099,0,1676488418,20000000,GPS1_Frame,42.33640124666667,-71.088160595,39.096,0.8,327973.740242413,4689239.274890438,191338.2,19,T,1
1676488419.2782545,0,1676488419,20000000,GPS1_Frame,42.336408475,-71.08814479166666,41.439,0.8,327975.0619125486,4689240.045570571,191339.2,19,T,1
1676488420.2740686,0,1676488420,20000000,GPS1_Frame,42.336427965,-71.08812812833334,42.897,0.8,327976.48786793725,4689242.176075544,191340.2,19,T,1
1676488421.276839,0,1676488421,20000000,GPS1_Frame,42.336441735,-71.08813979166666,39.278,4.6,327975.56453007145,4689243.7287242375,191341.2,19,T,5
1676488422.2634277,0,1676488422,20000000,GPS1_Frame,42.336448665,-71.088129505,41.071,1.0,327976.4308945595,4689244.4774374515,191342.2,19,T,1
1676488423.26319,0,1676488423,20000000,GPS1_Frame,42.33645202666667,-71.08812256833333,41.975,1.0,327977.0115389154,4689244.836691752,191343.2,19,T,1
1676488424.2705097,0,1676488424,20000000,GPS1_Frame,42.336414075,-71.08816254,44.414,1.0,327973.61498331034,4689240.703313713,191344.2,19,T,1
1676488425.2620163,0,1676488425,20000000,GPS1_Frame,42.336386483333335,-71.08819403166666,46.507,1.0,327970.9453001404,4689237.703180172,191345.2,19,T,1
1676488426.2588573,0,1676488426,20000000,GPS1_Frame,42.33643151166667,-71.08814927166667,39.952,1.0,327974.75564258685,4689242.612679688,191346.2,19,T,1
1676488427.2619061,0,1676488427,20000000,GPS1_Frame,42.336467065,-71.08807256166666,29.159,8.6,327981.1723475838,4689246.405420057,191347.2,19,T,5
1676488428.258747,0,1676488428,20000000,GPS1_Frame,42.33644216333333,-71.08810874333334,29.414,1.0,327978.12361843826,4689243.713475651,191348.2,19,T,1
1676488429.2623951,0,1676488429,20000000,GPS1_Frame,42.336472165,-71.08806340833333,19.678,2.4,327981.94035160565,4689246.953219119,191349.2,19,T,5
1676488430.2632763,0,1676488430,20000000,GPS1_Frame,42.3364709,-71.088060965,18.683,1.0,327982.13819658314,4689246.807807743,191350.2,19,T,1
1676488431.2699268,0,1676488431,20000000,GPS1_Frame,42.336477655,-71.08805678166667,15.738,0.9,327982.50125929795,4689247.549436142,191351.2,19,T,1
1676488432.2644618,0,1676488432,20000000,GPS1_Frame,42.3364874,-71.08804585166666,10.646,1.0,327983.4282990808,4689248.6094329925,191352.2,19,T,1
1676488433.2661493,0,1676488433,20000000,GPS1_Frame,42.336419965,-71.088146505,25.91,3.8,327974.95208978164,4689241.3249134505,191353.2,19,T,5
1676488434.2710772,0,1676488434,20000000,GPS1_Frame,42.33639288,-71.08818302833333,29.273,1.4,327971.86925425887,4689238.391220372,191354.2,19,T,5
1676488435.267579,0,1676488435,20000000,GPS1_Frame,42.33637717333333,-71.08819773333333,29.991,0.8,327970.6149509117,4689236.676864641,191355.2,19,T,1
1676488436.270365,0,1676488436,20000000,GPS1_Frame,42.33637371333333,-71.08819994333334,28.575,0.8,327970.42344480456,4689236.297129132,191356.2,19,T,1
