Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fix_quality
1676487541.3008416,0,1676487541,20000000,GPS1_Frame,42.336208856666666,-71.08840144666667,32.327,1.1,327953.3729736483,4689218.39873763,185901.2,19,T,5
1676487542.3053763,0,1676487542,20000000,GPS1_Frame,42.336209115,-71.08840089666667,32.434,1.1,327953.4189901253,4689218.42631076,185902.2,19,T,5
1676487543.3069088,0,1676487543,20000000,GPS1_Frame,42.33620943166667,-71.08840070166667,32.56,1.2,327953.4359188562,4689218.46107963,185903.2,19,T,5
1676487544.3086705,0,1676487544,20000000,GPS1_Frame,42.336209151666665,-71.08840051,32.572,1.1,327953.4509458116,4689218.429599971,185904.2,19,T,5
1676487545.3049011,0,1676487545,20000000,GPS1_Frame,42.336209005,-71.08840022166666,32.477,1.1,327953.4743003043,4689218.412730374,185905.2,19,T,5
1676487546.305454,0,1676487546,20000000,GPS1_Frame,42.33620810833333,-71.08840046166667,32.347,1.1,327953.45208251977,4689218.313647983,185906.2,19,T,5
1676487547.3060365,0,1676487547,20000000,GPS1_Frame,42.336207398333336,-71.08840067333334,32.319,1.1,327953.43270804465,4689218.2352361735,185907.2,19,T,5
1676487548.308316,0,1676487548,20000000,GPS1_Frame,42.33620750666667,-71.08840039166667,32.29,0.9,327953.45620870485,4689218.246695868,185908.2,19,T,5
1676487549.3128145,0,1676487549,20000000,GPS1_Frame,42.3362076,-71.08839999833333,32.267,0.9,327953.48886816506,4689218.25626399,185909.2,19,T,5
1676487550.300275,0,1676487550,20000000,GPS1_Frame,42.33620722333333,-71.08839982333333,32.039,0.9,327953.50225841533,4689218.214083958,185910.2,19,T,5
1676487551.3033864,0,1676487551,20000000,GPS1_Frame,42.336207015,-71.08839953166667,32.045,0.9,327953.5257193521,4689218.190360006,185911.2,19,T,5
1676487552.3095999,0,1676487552,20000000,GPS1_Frame,42.336206685,-71.08839944333333,32.147,0.9,327953.5320967976,4689218.153537303,185912.2,19,T,5
1676487553.3032353,0,1676487553,20000000,GPS1_Frame,42.336206876666665,-71.08839881,32.142,0.9,327953.5847969197,4689218.1735390015,185913.2,19,T,5
1676487554.3037148,0,1676487554,20000000,GPS1_Frame,42.336206976666666,-71.08839686666667,32.032,0.9,327953.7451719596,4689218.180711302,185914.2,19,T,4
1676487555.3133142,0,1676487555,20000000,GPS1_Frame,42.336207163333334,-71.088397595,32.353,0.9,327953.685676966,4689218.202912841,185915.2,19,T,5
1676487556.3009984,0,1676487556,20000000,GPS1_Frame,42.336206725,-71.088397685,32.307,0.9,327953.67706691136,4689218.15442137,185916.2,19,T,5
1676487557.2877214,0,1676487557,20000000,GPS1_Frame,42.336206495,-71.08839764333334,32.234,0.9,327953.67987240746,4689218.128797324,185917.2,19,T,5
1676487558.2970047,0,1676487558,20000000,GPS1_Frame,42.33620627333333,-71.08839757666667,32.189,0.9,327953.6847602689,4689218.104048048,185918.2,19,T,5
1676487559.2992086,0,1676487559,20000000,GPS1_Frame,42.33620573333334,-71.08839791,32.136,0.9,327953.6558258387,4689218.044759606,185919.2,19,T,5
1676487560.2995777,0,1676487560,20000000,GPS1_Frame,42.33620553833333,-71.08839768,31.97,0.9,327953.67424270615,4689218.022640988,185920.2,19,T,5
1676487561.3009722,0,1676487561,20000000,GPS1_Frame,42.336205138333334,-71.08839775,31.924,0.9,327953.6673848969,4689217.9783656765,185921.2,19,T,5
1676487562.3021858,0,1676487562,20000000,GPS1_Frame,42.33620482,-71.08839801,31.985,0.9,327953.6450965662,4689217.943543249,185922.2,19,T,5
1676487563.3013122,0,1676487563,20000000,GPS1_Frame,42.33620448833334,-71.088398325,32.063,0.9,327953.61824067734,4689217.907351537,185923.2,19,T,5
1676487564.3046486,0,1676487564,20000000,GPS1_Frame,42.336204181666666,-71.08839843,32.075,0.9,327953.6087539055,4689217.873510992,185924.2,19,T,5
1676487565.2977362,0,1676487565,20000000,GPS1_Frame,42.336203835,-71.08839856333333,32.044,0.9,327953.5968237956,4689217.835286082,185925.2,19,T,5
1676487566.293689,0,1676487566,20000000,GPS1_Frame,42.33620373666667,-71.08839858833333,32.046,0.9,327953.59449599526,4689217.8244175,185926.2,19,T,5
1676487567.302341,0,1676487567,20000000,GPS1_Frame,42.33620376333333,-71.08839855166667,31.989,0.9,327953.5975895174,4689217.8273044415,185927.2,19,T,5
1676487568.295625,0,1676487568,20000000,GPS1_Frame,42.336203815,-71.0883984,31.86,0.9,327953.6102255406,4689217.832734764,185928.2,19,T,5
1676487569.3004763,0,1676487569,20000000,GPS1_Frame,42.336203776666665,-71.08839845,31.765,0.9,327953.6060017315,4689217.828579304,185929.2,19,T,5
1676487570.2987823,0,1676487570,20000000,GPS1_Frame,42.33620359333333,-71.08839850333334,31.662,0.9,327953.60110787465,4689217.808329449,185930.2,19,T,5
